Team,Player name,Opponent,Win_Loss,MIN,PTS,FGM,FGA,FG,PM3,PA3,P3,Assists,Steals,Blocks
Los Angeles Lakers (LAL),Danny Green,NOP,W,20,4,2,5,40,0,2,0,0,1,1
Los Angeles Lakers (LAL),Danny Green,HOU,L,28,10,4,12,33.3,2,7,28.6,0,0,1
Los Angeles Lakers (LAL),Danny Green,BKN,W,19,14,5,9,55.6,4,7,57.1,0,2,1
Los Angeles Lakers (LAL),Kentavious Caldwell-Pope,SAC,W,24,16,6,10,60,3,5,60,0,1,0
Los Angeles Lakers (LAL),Kentavious Caldwell-Pope,NOP,W,29,5,2,8,25,1,5,20,2,0,1
Los Angeles Lakers (LAL),Kentavious Caldwell-Pope,HOU,L,28,5,2,8,25,1,5,20,0,1,0
Los Angeles Lakers (LAL),Kentavious Caldwell-Pope,BKN,W,28,11,3,5,60,3,3,100,1,0,0
Houston Rockets (HUS),Danuel House Jr.,SAC,W,32,14,5,10,50,4,8,50,0,1,0
Houston Rockets (HUS),Danuel House Jr.,NOP,W,11,2,0,2,0,0,2,0,0,1,0
Houston Rockets (HUS),Danuel House Jr.,LAL,L,27,13,5,10,50,3,7,42.9,1,1,0
Houston Rockets (HUS),Danuel House Jr.,BKN,W,40,8,3,12,25,2,10,20,0,2,1
Houston Rockets (HUS),P.J. Tucker,SAC,W,39,5,2,6,33.3,1,4,25,4,3,0
Houston Rockets (HUS),P.J. Tucker,NOP,W,33,10,3,8,37.5,1,5,20,0,0,0
Houston Rockets (HUS),P.J. Tucker,LAL,L,34,18,7,10,70,4,7,57.1,2,1,1
Houston Rockets (HUS),P.J. Tucker,BKN,W,37,4,2,7,28.6,0,5,0,0,0,0
Houston Rockets (HUS),Russell Westbrook,SAC,W,40,28,10,22,45.5,3,4,75,6,1,0
Houston Rockets (HUS),Russell Westbrook,NOP,W,35,26,11,21,52.4,1,8,12.5,4,4,0
Houston Rockets (HUS),Russell Westbrook,LAL,L,33,10,4,15,26.7,1,7,14.3,4,2,0
Houston Rockets (HUS),Russell Westbrook,BKN,W,38,23,11,28,39.3,0,2,0,7,1,1
Houston Rockets (HUS),James Harden,SAC,W,37,34,10,19,52.6,4,11,36.4,5,2,1
Houston Rockets (HUS),James Harden,NOP,W,38,39,13,25,52,3,11,27.3,9,2,1
Houston Rockets (HUS),James Harden,LAL,L,39,27,6,12,50,4,8,50,7,2,0
Houston Rockets (HUS),James Harden,BKN,W,39,44,17,27,63,6,10,60,6,1,3
Houston Rockets (HUS),Austin Rivers,SAC,W,16,7,3,5,60,1,3,33.3,0,0,0
Houston Rockets (HUS),Austin Rivers,NOP,W,20,8,3,6,50,1,3,33.3,0,0,0
Houston Rockets (HUS),Austin Rivers,LAL,L,6,0,0,2,0,0,2,0,0,0,0
Houston Rockets (HUS),Austin Rivers,BKN,W,22,14,5,12,41.7,4,9,44.4,1,0,0
Brooklyn Nets (BKN),Joe Harris,SAC,W,28,22,8,11,72.7,5,7,71.4,1,0,2
Brooklyn Nets (BKN),Joe Harris,NOP,W,32,19,7,14,50,4,9,44.4,4,1,0
Brooklyn Nets (BKN),Joe Harris,HOU,L,32,12,5,14,35.7,2,5,40,2,1,1
Brooklyn Nets (BKN),Joe Harris,LAL,L,26,6,2,6,33.3,2,5,40,2,1,1
Brooklyn Nets (BKN),Taurean Prince,SAC,W,25,8,3,9,33.3,2,5,40,1,0,0
Brooklyn Nets (BKN),Taurean Prince,NOP,W,37,12,4,12,33.3,2,9,22.2,4,4,0
Brooklyn Nets (BKN),Taurean Prince,HOU,L,27,16,6,13,46.2,4,8,50,2,1,0
Brooklyn Nets (BKN),Taurean Prince,LAL,L,29,18,6,13,46.2,3,7,42.9,4,3,0
Brooklyn Nets (BKN),Jarrett Allen,SAC,W,25,11,5,6,83.3,0,0,0,1,1,1
Brooklyn Nets (BKN),Jarrett Allen,NOP,W,30,18,7,8,87.5,0,0,0,1,1,0
Brooklyn Nets (BKN),Jarrett Allen,HOU,L,26,16,5,7,71.4,0,0,0,0,1,2
Brooklyn Nets (BKN),Jarrett Allen,LAL,L,29,7,3,8,37.5,0,1,0,0,0,1
Brooklyn Nets (BKN),Spencer Dinwiddie,SAC,W,27,23,8,15,53.3,0,5,0,7,2,0
Brooklyn Nets (BKN),Spencer Dinwiddie,NOP,W,20,7,3,8,37.5,1,4,25,3,1,0
Brooklyn Nets (BKN),Spencer Dinwiddie,HOU,L,33,17,6,20,30,0,7,0,11,0,0
Brooklyn Nets (BKN),Spencer Dinwiddie,LAL,L,30,7,3,9,33.3,1,6,16.7,13,1,0
Brooklyn Nets (BKN),Garrett Temple,SAC,W,34,18,6,13,46.2,4,9,44.4,4,2,0
Brooklyn Nets (BKN),Garrett Temple,NOP,W,25,13,4,6,66.7,3,5,60,4,1,1
Brooklyn Nets (BKN),Garrett Temple,HOU,L,27,2,1,9,11.1,0,5,0,3,1,1
Brooklyn Nets (BKN),Garrett Temple,LAL,L,18,11,4,8,50,3,6,50,0,1,0
